State,Area_Name,Rural_Urban_Continuum_Code_2003,Rural_Urban_Continuum_Code_2013,Urban_Influence_2003,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022
AR,Carroll County,6,6,6,6,3,"28,260","28,260","28,242","28,480","28,742",-18,238,262
AR,Chicot County,7,7,9,9,1,"10,208","10,212","10,157","10,071","9,873",-55,-86,-198
AR,Clark County,7,7,8,8,4,"21,446","21,447","21,387","21,217","21,250",-60,-170,33
AR,Clay County,7,7,9,9,1,"14,552","14,548","14,528","14,370","14,265",-20,-158,-105
AR,Cleburne County,6,6,6,6,5,"24,711","24,705","24,696","25,044","25,284",-9,348,240
AR,Cleveland County,3,3,2,2,0,"7,550","7,548","7,550","7,490","7,467",2,-60,-23
AR,Columbia County,7,7,8,8,3,"22,801","22,798","22,742","22,510","22,216",-56,-232,-294
AR,Conway County,6,6,6,6,0,"20,715","20,709","20,729","20,911","21,046",20,182,135
AR,Craighead County,3,3,2,2,0,"111,231","111,233","111,603","111,788","113,017",370,185,"1,229"
AR,Crawford County,2,2,2,2,3,"60,133","60,130","60,147","60,423","61,075",17,276,652
AR,Crittenden County,1,1,1,1,0,"48,163","48,169","48,086","47,475","47,061",-83,-611,-414
AR,Cross County,6,6,4,4,0,"16,833","16,830","16,796","16,693","16,601",-34,-103,-92
AR,Dallas County,6,6,6,6,0,"6,482","6,479","6,442","6,306","6,191",-37,-136,-115
AR,Desha County,6,6,6,6,0,"11,395","11,395","11,320","11,050","10,771",-75,-270,-279
AR,Drew County,7,6,11,6,4,"17,350","17,348","17,314","17,070","16,911",-34,-244,-159
AR,Faulkner County,2,2,2,2,0,"123,498","123,498","123,811","125,645","127,665",313,"1,834","2,020"
AR,Franklin County,2,6,2,6,0,"17,097","17,101","17,135","17,166","17,271",34,31,105
AR,Fulton County,9,9,9,9,0,"12,075","12,077","12,057","12,156","12,382",-20,99,226
AR,Garland County,3,3,2,2,5,"100,180","100,172","100,249","100,386","100,089",77,137,-297
AR,Grant County,2,2,2,2,0,"17,958","17,966","18,022","18,149","18,160",56,127,11
AR,Greene County,6,4,5,5,3,"45,736","45,740","45,864","46,349","46,448",124,485,99
AR,Hempstead County,6,6,5,6,0,"20,065","20,062","19,981","19,679","19,453",-81,-302,-226
AR,Hot Spring County,6,6,6,5,0,"33,040","33,046","33,075","33,108","33,203",29,33,95
AR,Howard County,7,6,9,6,3,"12,785","12,784","12,755","12,676","12,557",-29,-79,-119
AR,Independence County,7,7,8,8,3,"37,938","37,931","37,936","37,742","37,945",5,-194,203
AR,Izard County,9,9,10,10,4,"13,577","13,574","13,597","13,928","14,048",23,331,120
AR,Jackson County,6,6,6,6,4,"16,755","16,760","16,755","16,780","16,624",-5,25,-156
AR,Jefferson County,3,3,2,2,4,"67,260","67,261","66,833","65,649","64,246",-428,"-1,184","-1,403"
AR,Johnson County,6,7,6,9,3,"25,749","25,749","25,722","25,977","26,001",-27,255,24
AR,Lafayette County,8,8,7,7,0,"6,308","6,311","6,299","6,155","6,101",-12,-144,-54
AR,Lawrence County,6,6,6,6,0,"16,216","16,216","16,212","16,316","16,205",-4,104,-111
AR,Lee County,6,7,4,9,1,"8,600","8,597","8,528","8,559","8,364",-69,31,-195
AR,Lincoln County,3,3,2,2,4,"12,941","12,936","12,889","13,151","12,916",-47,262,-235
AR,Little River County,6,3,6,2,3,"12,026","12,028","11,975","11,954","11,821",-53,-21,-133
AR,Logan County,6,6,6,6,0,"21,131","21,132","21,103","21,207","21,253",-29,104,46
AR,Lonoke County,2,2,2,2,0,"74,015","74,010","74,046","74,766","75,225",36,720,459
AR,Madison County,2,2,2,2,3,"16,521","16,521","16,546","16,936","17,486",25,390,550
AR,Marion County,9,9,10,10,3,"16,826","16,832","16,877","16,970","17,254",45,93,284
AR,Miller County,3,3,2,2,0,"42,600","42,595","42,579","42,499","42,552",-16,-80,53
AR,Mississippi County,4,4,5,3,3,"40,685","40,692","40,544","39,577","38,896",-148,-967,-681
AR,Monroe County,7,7,9,9,0,"6,799","6,799","6,774","6,660","6,564",-25,-114,-96
AR,Montgomery County,8,8,7,7,5,"8,484","8,486","8,488","8,638","8,556",2,150,-82
AR,Nevada County,7,7,8,9,3,"8,310","8,315","8,285","8,195","8,181",-30,-90,-14
AR,Newton County,9,9,8,8,1,"7,225","7,225","7,193","7,164","7,078",-32,-29,-86
AR,Ouachita County,7,7,8,8,4,"22,650","22,648","22,614","22,344","22,049",-34,-270,-295
AR,Perry County,2,2,2,2,0,"10,019","10,021","10,000","9,989","10,063",-21,-11,74
AR,Phillips County,7,6,8,3,0,"16,568","16,576","16,443","15,822","15,304",-133,-621,-518
AR,Pike County,9,9,10,10,0,"10,171","10,180","10,172","10,121","10,179",-8,-51,58
