fid,state
825,NJ
826,NJ
827,NY
828,NY
829,NJ
830,NY
831,NY
832,NY
833,NY
834,NJ
835,NY
836,NY
837,NJ
838,NY
839,NY
840,NY
841,NY
842,NJ
843,NJ
844,NY
845,NY
846,NY
847,NY
848,NY
849,NY
850,NY
851,NY
852,NY
853,NY
854,NJ
855,NJ
856,NJ
857,NJ
858,NY
859,NY
860,NY
861,NY
862,NY
863,NY
864,NY
865,NY
866,NJ
867,NJ
868,NJ
869,NJ
870,NJ
871,NJ
872,NJ
873,NJ
874,NJ
875,NJ
876,NJ
877,NY
878,NY
879,NY
880,NY
881,NY
882,NY
883,NY
884,NY
885,NY
886,NY
887,NJ
888,NY
889,NY
890,NY
891,NY
892,NY
893,NY
894,NJ
895,NJ
896,NJ
897,NJ
898,NJ
899,NJ
900,NJ
901,PA
902,NJ
903,NY
904,NY
905,NY
906,NY
907,NY
908,NY
909,NY
910,NY
911,NJ
912,NY
913,NY
914,NY
915,NY
916,NY
917,NY
918,NY
919,NY
920,NY
921,NY
922,NY
923,NY
924,NY
925,NY
926,NY
927,NY
928,NY
929,NY
930,NY
931,NJ
932,NJ
933,NJ
934,NJ
935,NJ
936,NJ
937,NJ
938,NJ
939,NJ
940,NJ
941,NJ
942,NJ
943,NJ
944,NJ
945,NJ
946,NJ
947,NJ
948,NJ
949,NJ
950,NJ
951,NJ
952,NJ
953,NJ
954,NJ
955,NY
956,NY
957,NJ
958,NJ
959,NJ
960,NY
961,NY
962,NJ
963,NJ
964,NJ
965,NJ
966,NJ
967,NJ
968,NJ
969,NJ
970,NJ
971,NJ
972,NJ
973,NJ
974,NJ
975,NJ
976,NY
977,NY
978,NY
979,NJ
980,NJ
981,NJ
982,PA
983,PA
984,PA
985,PA
986,NJ
987,PA
988,NJ
989,PA
990,PA
991,PA
992,PA
993,PA
994,PA
995,PA
996,NJ
997,PA
998,PA
999,PA
1000,PA
1001,NY
1002,NY
1003,NJ
1004,NJ
1005,PA
1006,NJ
1007,NJ
1008,NJ
1009,NJ
1010,NJ
1011,NJ
1012,NJ
1013,NJ
1014,PA
1015,NJ
1016,NJ
1017,PA
1018,PA
1019,PA
1020,NJ
1021,PA
1022,PA
1023,NJ
1024,PA
1025,PA
1026,NJ
1027,NJ
1028,PA
1029,NJ
1030,NJ
1031,NJ
1032,NJ
1033,NJ
1034,NJ
1035,NJ
1036,NJ
1037,NJ
1038,NJ
1039,NJ
1040,NJ
1041,NJ
1042,NJ
1043,NJ
1044,NJ
1045,NJ
1046,NJ
1047,NJ
1048,NJ
1049,NJ
1050,NJ
1051,NJ
1052,NJ
1053,NJ
1054,NJ
1055,PA
1056,PA
1057,PA
1058,NJ
1059,NJ
1060,NJ
1061,NJ
1062,NJ
1063,NJ
1064,NJ
1065,NJ
1066,NJ
1067,PA
1068,PA
1069,PA
1070,PA
1071,PA
1072,PA
1073,PA
1074,PA
1075,PA
1076,NJ
1077,NJ
1078,PA
1079,PA
1080,PA
1081,NJ
1082,PA
1083,PA
1084,PA
1085,NJ
1086,NJ
1087,PA
1088,PA
1089,PA
1090,NJ
1091,PA
1092,PA
1093,PA
1094,PA
1095,PA
1096,PA
1097,DE
1098,PA
1099,PA
1100,PA
1101,NJ
1102,PA
1103,DE
1104,PA
1105,PA
1106,DE
1107,PA
1108,NJ
1109,NJ
1110,NJ
1111,NJ
1112,NJ
1113,NJ
1114,NJ
1115,PA
1116,PA
1117,PA
1118,PA
1119,NJ
1120,PA
1121,NJ
1122,PA
1123,PA
1124,NJ
1125,PA
1126,PA
1127,PA
1128,PA
1129,PA
1130,NJ
1131,NJ
1132,NJ
1133,NJ
1134,NJ
1135,PA
1136,PA
1137,PA
1138,PA
1139,PA
1140,PA
1141,PA
1142,DE
1143,DE
1144,DE
1145,DE
1146,DE
1147,DE
1148,NJ
1149,PA
1150,DE
1151,DE
1152,DE
1153,DE
1154,DE
1155,NJ
1156,MD
1157,DE
1158,MD
1159,DE
1160,DE
1161,NJ
1162,DE
1163,DE
1164,NJ
1165,NJ
1166,NJ
1167,PA
1168,PA
1169,NJ
1170,NJ
1171,DE
1172,NJ
1173,NJ
1174,NJ
1175,DE
1176,DE
1177,DE
1178,DE
1179,DE
1180,DE
1181,DE
1182,DE
1183,DE
1184,DE
1185,DE
1186,DE
1187,DE
1188,NJ
1189,NJ
1190,PA
1191,PA
1192,PA
1193,PA
1194,PA
1195,PA
1196,PA
1197,PA
1198,PA
1199,PA
1200,PA
1201,PA
1202,PA
1203,PA
1204,PA
1205,PA
1206,PA
1207,PA
1208,PA
1209,PA
1210,PA
1211,PA
1212,PA
1213,PA
1214,NY
1215,NY
1216,NY
1217,NY
1218,NY
1219,NY
1220,NY
1221,NY
1222,NY
1223,NY
1224,NY
1225,NY
1226,NY
1227,NY
1228,NY
1229,NY
1230,NY
1231,NY
1232,NY
1233,NY
1234,NY
1235,NY
1236,NY
1237,NY
1238,NY
1239,NY
1240,NY
1241,NY
1242,NY
1243,NY
1244,NY
1245,NY
1246,NY
1247,NY
1248,NY
1249,NY
1250,NY
1251,NY
1252,NY
1253,NY
1254,NY
1255,NY
1256,NY
1257,NY
1258,NY
1259,NY
1260,NY
1261,NY
1262,NY
1263,NY
1264,NY
1265,NY
1266,NY
1267,NY
1268,NY
1269,NY
1270,NY
1271,NY
1272,NY
1273,NY
1274,NY
1275,NY
1276,NY
1277,NY
1278,NY
1279,NY
1280,NY
1281,NY
1282,NY
1283,NY
1284,NY
1285,NY
1286,NY
1287,NY
1288,NY
1289,NY
1290,NY
1291,NY
1292,NY
1293,NY
1294,NY
1295,NY
1296,NY
1297,NY
1298,NY
1299,NY
1300,NY
1301,NY
1302,NY
1303,NY
1304,NY
1305,NY
1306,NY
1307,NY
1308,NY
1309,NY
1310,NY
1311,NY
1312,NY
1313,NY
1314,NY
1315,NY
1316,NY
1317,NY
1318,NY
1319,NY
1320,NY
1321,NY
1322,NY
1323,NY
1324,NY
1325,NY
1326,NY
1327,NY
1328,NY
1329,NY
1330,NY
1331,NY
1332,NY
1333,NY
1334,NY
1335,NY
1336,NY
1337,NY
1338,NY
1339,NY
1340,NY
1341,NY
1342,NY
1343,NY
1344,NY
1345,NY
1346,NY
1347,NY
1348,NY
1349,NY
1350,NY
1351,NY
1352,NY
1353,NY
1354,NY
1355,NY
1356,NY
1357,NY
1358,NY
1359,NY
1360,NY
1361,NY
1362,NY
1363,NY
1364,NY
1365,NY
1366,NY
1367,NY
1368,NY
1369,NY
1370,NY
1371,NY
1372,NY
1373,NY
1374,NY
1375,NY
1376,NY
1377,NY
1378,NY
1379,NY
1380,NY
1381,NY
1382,NY
1383,NY
1384,NY
1385,NY
1386,NY
1387,NY
1388,NY
1389,NY
1390,NY
1391,NY
1392,NY
1393,NY
1394,NY
1395,NY
1396,NY
1397,NY
1398,NY
1399,NY
1400,NY
1401,NY
1402,NY
1403,NY
1404,NY
1405,NY
1406,NY
1407,NY
1408,NY
1409,NY
1410,NY
1411,NY
1412,NY
1413,NY
1414,NY
1415,NY
1416,NY
1417,NY
1418,NY
1419,NY
1420,NY
1421,NY
1422,NY
1423,NY
1424,NY
1425,NY
1426,NY
1427,NY
1428,NY
1429,NY
1430,NY
1431,NY
1432,NY
1433,NY
1434,NY
1435,NY
1436,NY
1437,NY
1438,NY
1439,NY
1440,NY
1441,NY
1442,NY
1443,NY
1444,NY
1445,NY
1446,NY
1447,NY
1448,NY
1449,NY
1450,NY
1451,NY
1452,NY
